Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
160,0.0246839,0.0273555,0.016872,0.025276,0.0120526,0.00202137,0.00386055,0.00447247,0.0096949,0.00907303,0.0249398,0.0169984,0.0154167,0.0102151,0.00887604,0.0207803,0.0082517,0.0115245,0.0128305,0.0126997,0.00529896,0.00693248,0.0142603,0.0163861,0.00839922,0.00342733,0.00299463,0.00828136,0.0145059,0.00855057,0.00588615,0.0113166,0.00772979,0.00776042,0.00774571,0.0113494,0.0138276,0.0155209,0.00400618,0.0100308,0.00261165,0.0033152
161,0.0245824,0.027597,0.0173063,0.0260601,0.0105959,0.00301003,0.00275824,0.00601716,0.00981934,0.0083895,0.0240363,0.0173131,0.0149331,0.00935634,0.00806375,0.0205441,0.00839151,0.0114417,0.0114741,0.0129568,0.00499915,0.0063222,0.0131672,0.0171538,0.00685809,0.0029787,0.00469247,0.00875614,0.0144235,0.00944352,0.00635254,0.0113206,0.00823627,0.00694136,0.00708272,0.0114159,0.0129444,0.015074,0.00381965,0.0115824,0.00394548,0.0039965
162,0.0245481,0.0278238,0.0176734,0.0276368,0.00919452,0.00394693,0.00277001,0.00689539,0.00992437,0.00745914,0.0231175,0.0174763,0.0141197,0.00847658,0.00711812,0.0205535,0.00850664,0.0117926,0.0113646,0.0131073,0.00489141,0.00570418,0.012262,0.0179399,0.00518919,0.00315198,0.00592111,0.00882246,0.0140908,0.0104549,0.00674246,0.0114783,0.00885407,0.00626313,0.00651146,0.010701,0.0115294,0.0146663,0.00466656,0.01227,0.00512469,0.0047773
163,0.0246171,0.0279767,0.0178858,0.0301056,0.00816262,0.0043865,0.00316962,0.00716643,0.00999695,0.00642284,0.0220709,0.0175486,0.0132357,0.00791502,0.00614066,0.0208247,0.00856534,0.0126825,0.0120756,0.0131289,0.00481264,0.0051627,0.0116543,0.0186692,0.00369378,0.00358379,0.00653137,0.00856444,0.0136223,0.0113682,0.00721075,0.0118044,0.00941824,0.00599901,0.00599747,0.00980914,0.00987533,0.0142343,0.00633178,0.0126463,0.00608714,0.00563738
164,0.0248166,0.0279455,0.0179401,0.032967,0.00786723,0.0044744,0.00349577,0.00700703,0.00996816,0.00548687,0.0208344,0.0176671,0.0128881,0.00813259,0.00546456,0.0210228,0.0087421,0.0140472,0.0130142,0.0129217,0.00466339,0.00484292,0.0114485,0.019294,0.00274083,0.00421481,0.0068185,0.00810482,0.0131504,0.0121172,0.00765492,0.0122476,0.00972427,0.00621074,0.00544915,0.00939818,0.00823082,0.0136632,0.00822046,0.0130558,0.00688571,0.00654548
165,0.0250892,0.0276947,0.0178392,0.0351623,0.00853598,0.00436699,0.00369091,0.0066291,0.0097964,0.00480984,0.0193231,0.017916,0.0133869,0.00903686,0.00549442,0.0206983,0.00919704,0.0156321,0.0135793,0.0124312,0.00447545,0.00488885,0.0116079,0.0197626,0.00224919,0.00497459,0.00718873,0.00762072,0.0127938,0.0127063,0.00763425,0.012728,0.00972602,0.0066795,0.00507077,0.00947267,0.00652504,0.0130045,0.00962569,0.0135764,0.00757437,0.0075038
166,0.0253387,0.0273214,0.0175354,0.0357533,0.00991098,0.00411997,0.00378283,0.00624166,0.00952074,0.00447603,0.0174633,0.0182219,0.0142461,0.00995258,0.00623693,0.0196466,0.00958853,0.0170508,0.0132086,0.0117535,0.00433557,0.00527405,0.0118396,0.0200059,0.0022694,0.00575251,0.00791737,0.00729968,0.0126159,0.013144,0.00690586,0.0131485,0.00966598,0.00723041,0.00528864,0.00961782,0.0044533,0.0124642,0.0100666,0.0141615,0.0081954,0.00855902
167,0.0255227,0.0269524,0.017007,0.0344688,0.0114103,0.00370377,0.0038205,0.00596536,0.00920108,0.00450674,0.0154382,0.0183913,0.0145582,0.0102293,0.0072795,0.0180298,0.00925984,0.0177928,0.0115807,0.0110704,0.00426012,0.00571806,0.0117203,0.0199836,0.00337433,0.006451,0.00898861,0.00725492,0.0125859,0.0134229,0.00594076,0.013423,0.00990744,0.00791741,0.00596927,0.00953471,0.00212194,0.0121999,0.00955262,0.0147152,0.0087847,0.00972329
168,0.0256742,0.0266285,0.0163592,0.031306,0.0125518,0.00314692,0.00381711,0.00582114,0.00884184,0.00482203,0.0141162,0.0182832,0.013745,0.00950618,0.0082336,0.0161913,0.00791205,0.0173196,0.00902876,0.010487,0.00417536,0.00589436,0.0110803,0.0197263,0.00508743,0.00699379,0.0101731,0.00744842,0.012599,0.0135657,0.00565703,0.0135216,0.0105199,0.00884673,0.00667182,0.0091092,0.00194393,0.0121794,0.00853613,0.0151412,0.00935918,0.0109111
169,0.0258488,0.0263122,0.0157811,0.0260337,0.0130896,0.00260541,0.00374276,0.00579489,0.00842979,0.0052836,0.0151478,0.0179099,0.0118022,0.00773047,0.00882358,0.0143684,0.0058741,0.0153314,0.00713673,0.0099478,0.00399517,0.00565664,0.0102197,0.0193133,0.00670879,0.00732452,0.0112314,0.00768348,0.0125567,0.0136539,0.00631512,0.0134801,0.011134,0.00988602,0.00728392,0.0083364,0.00366664,0.012274,0.00744277,0.0153976,0.00989611,0.0119601
