Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSH,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RLMAL,RMEL,RMMAL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
31,0.0266325,0.0219273,0.0155273,0.0183138,0.0112405,0.00456567,0.00347006,0.00893973,0.00888082,0.0041568,0.0309791,0.0187637,0.00892254,0.0150804,0.0142014,0.00949195,0.00327576,0.0182798,0.0126649,0.0139852,0.00588092,0.00381445,0.00373393,0.0139487,0.0124153,0.0224512,0.00719102,0.011268,0.0115866,0.00408396,0.0151536,0.0084493,0.0317116,0.0532656,0.0180213,0.0379362,0.0255408,0.00451721,0.0236572,0.0467699,0.04328,0.0641522,0.00907976,0.0073283,0.00895752
32,0.0259989,0.0221141,0.0150337,0.0188716,0.00781495,0.00426668,0.00328271,0.0094997,0.00867434,0.00478477,0.0305853,0.0171183,0.00866955,0.014443,0.0158549,0.010362,0.000590336,0.0158434,0.0111145,0.0150113,0.00549741,0.00335776,0.00280766,0.0138038,0.0118037,0.0248211,0.00696643,0.0104852,0.0109033,0.0038158,0.0165634,0.00865235,0.034873,0.0579936,0.0177116,0.0401673,0.0276115,0.00611624,0.0243285,0.0471392,0.0474619,0.071288,0.0093865,0.00723086,0.0089876
33,0.025276,0.0222955,0.014658,0.0195008,0.00437524,0.00420186,0.00308701,0.0100666,0.00840556,0.00558349,0.0271434,0.015175,0.00819178,0.0145935,0.0179552,0.0117788,0.00331702,0.0106365,0.0103845,0.0164532,0.00550664,0.00340074,0.00242765,0.0138113,0.0113559,0.0270361,0.00656095,0.00960808,0.0102218,0.00346254,0.0177289,0.00909455,0.0377984,0.0614806,0.0176847,0.041085,0.0287227,0.00776563,0.0238738,0.0459781,0.0501282,0.0767875,0.00952242,0.00708851,0.00884521
34,0.0247553,0.0225041,0.0142931,0.0204658,0.00244476,0.00423868,0.00290489,0.0105544,0.00806687,0.00644897,0.0205834,0.0128699,0.00768837,0.0156699,0.0205921,0.0133561,0.00697003,0.00601098,0.0115072,0.0168066,0.00585057,0.00381897,0.0024452,0.0139745,0.0109682,0.0289649,0.00632667,0.008704,0.00974103,0.00326053,0.0187001,0.00987149,0.0402661,0.0639154,0.0177749,0.0406261,0.0289487,0.00951848,0.0227611,0.0435268,0.051117,0.0808235,0.00917794,0.00683705,0.00841614
35,0.024687,0.022838,0.0139013,0.0221031,0.00500691,0.00436768,0.00280525,0.0107978,0.0076335,0.00724722,0.0138699,0.0102454,0.00726311,0.0168342,0.0228056,0.0143396,0.00969384,0.00716286,0.0140464,0.0151,0.00643877,0.00424985,0.00258709,0.0143715,0.0105515,0.0303485,0.00674099,0.00780953,0.00957039,0.00392109,0.0194564,0.0107865,0.0421308,0.0654412,0.0178268,0.0390808,0.0283728,0.0113316,0.0217925,0.0402924,0.0505116,0.0836537,0.00799179,0.00623404,0.00759661
36,0.0251414,0.023452,0.013451,0.0242927,0.00746642,0.00457986,0.00278069,0.0104672,0.00713385,0.00770776,0.0114053,0.0075979,0.00695211,0.01661,0.0230351,0.0143082,0.0107261,0.0104177,0.016452,0.0127638,0.007325,0.00439253,0.00279868,0.015101,0.0100662,0.0311044,0.00788462,0.0069603,0.00945876,0.00590514,0.0200376,0.0114571,0.0434009,0.066229,0.0176432,0.0371263,0.0271549,0.0129614,0.0214794,0.0369106,0.0488438,0.0855514,0.00579373,0.00490858,0.00636319
37,0.0258762,0.0244292,0.0129148,0.0263599,0.00788421,0.00476775,0.00275672,0.00919918,0.00674534,0.00754817,0.0119475,0.00547884,0.00693121,0.0142188,0.0209861,0.0128734,0.0103725,0.0132469,0.0175427,0.0118932,0.0086808,0.00426683,0.00340397,0.0160579,0.00947111,0.0315172,0.00920092,0.00643266,0.00890325,0.00878299,0.020609,0.0117769,0.0442571,0.0665625,0.0170581,0.0354938,0.0256076,0.0141385,0.0216479,0.0339609,0.0468705,0.0867243,0.00375268,0.00292047,0.00523303
38,0.0264557,0.0255775,0.0122838,0.0275108,0.00697864,0.00513507,0.00279032,0.0069012,0.00676936,0.00680163,0.0120707,0.00424388,0.00700103,0.0105638,0.0184668,0.0105521,0.0105055,0.0155736,0.0175066,0.0132533,0.0103041,0.00438306,0.00477319,0.0168387,0.00876019,0.0320747,0.0101579,0.00653412,0.00757787,0.0116661,0.0213316,0.0120006,0.0449408,0.0667503,0.0161439,0.0345604,0.0241294,0.0147925,0.0216659,0.0316852,0.0450744,0.0872275,0.00500238,0.00238007,0.00534328
39,0.0266362,0.0264581,0.0115961,0.0275263,0.00646206,0.00629521,0.00307564,0.00404701,0.00747699,0.00600855,0.0117493,0.00417559,0.00682255,0.00784253,0.0179337,0.009264,0.0125355,0.0175711,0.0176693,0.0161057,0.0115766,0.00541403,0.00681823,0.0170653,0.00810544,0.0331674,0.0108281,0.00700658,0.00576702,0.0136972,0.0222712,0.0122945,0.0456521,0.0670429,0.0151932,0.0341642,0.0229734,0.0151031,0.0210358,0.0297993,0.043376,0.0870817,0.00743446,0.00441197,0.00643718
40,0.026508,0.0267793,0.0110051,0.026966,0.00739685,0.00820039,0.00373063,0.00233905,0.00896445,0.0059963,0.0116284,0.00558325,0.00680696,0.00741486,0.0198641,0.00990676,0.015481,0.0195034,0.0187798,0.0188954,0.012189,0.00724257,0.00919434,0.0167803,0.00781184,0.0348524,0.0118011,0.00736357,0.00479742,0.0145302,0.0233982,0.0124182,0.0464335,0.067584,0.0144749,0.0338557,0.0221746,0.0153014,0.019806,0.0280551,0.0415895,0.0864245,0.00873554,0.00613057,0.0070899
