Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH2,RTH3,RTOE,RUA1,RUA2,RUA3
113,0.0238351,0.00902696,0.0226416,0.0132395,0.0147119,0.00897002,0.0110436,0.0123063,0.00803618,0.0132758,0.0180848,0.00865132,0.00789758,0.00606676,0.0101133,0.00684908,0.0156358,0.0121041,0.0123989,0.0167169,0.00852721,0.012103,0.00802445,0.0243787,0.00589416,0.00112099,0.00378915,0.00984904,0.0103897,0.0487258,0.00781672,0.0157707,0.0148231,0.0161077,0.0117771,0.00753315,0.0139971,0.0221588,0.00947094,0.0101087,0.00397216
114,0.0246511,0.00894058,0.0231338,0.0130334,0.0143541,0.0102181,0.0122994,0.0128966,0.00977184,0.0139336,0.0171407,0.00985716,0.00743187,0.00619648,0.00877651,0.00783982,0.0148402,0.0135564,0.0139423,0.0181512,0.0108245,0.011583,0.00971472,0.0212989,0.00669372,0.000730251,0.00376888,0.00824164,0.00925327,0.0459595,0.00918961,0.0140982,0.0130236,0.0132578,0.0121193,0.0115572,0.0164803,0.0205272,0.0105409,0.0108742,0.00382374
115,0.025902,0.00886846,0.0232241,0.012422,0.0138755,0.0117305,0.014155,0.0139637,0.0120067,0.0144346,0.0161926,0.011079,0.00695352,0.00696839,0.007546,0.00979272,0.0167764,0.0163701,0.0166542,0.0192279,0.0139182,0.0118015,0.0117723,0.0179675,0.0070332,0.00132731,0.00374909,0.00698573,0.00911087,0.0440664,0.0100714,0.0122735,0.0112023,0.0101735,0.0135278,0.0157589,0.0179717,0.0183223,0.0121558,0.012202,0.00508256
116,0.027585,0.00872809,0.0228986,0.0117776,0.0144278,0.0134379,0.0164204,0.0154894,0.0144533,0.0153073,0.0152948,0.0118144,0.00592183,0.00885757,0.00669117,0.0116585,0.020546,0.0214375,0.0198906,0.0202809,0.0174171,0.0124345,0.0137552,0.0156463,0.00694158,0.00248667,0.00375083,0.00602685,0.00958995,0.0429888,0.0106666,0.010499,0.0097589,0.00806585,0.0142655,0.0182102,0.0180863,0.0162776,0.0140556,0.0137936,0.00666167
117,0.0294077,0.0085274,0.0221655,0.0115599,0.0160202,0.0152591,0.0187352,0.0172604,0.0167463,0.0167689,0.0145062,0.011614,0.00461684,0.0112787,0.00654819,0.0130528,0.0239901,0.0258618,0.0230347,0.021779,0.0208611,0.0130376,0.0151328,0.0150217,0.00660014,0.00395419,0.00378851,0.00513853,0.0105127,0.0425565,0.0111075,0.00881518,0.00879284,0.00777921,0.01316,0.0177779,0.0168819,0.0146631,0.0157927,0.0153046,0.00840994
118,0.0309109,0.00832897,0.021133,0.012135,0.0164535,0.0170599,0.0207483,0.018958,0.0185781,0.0184778,0.0138944,0.0105428,0.00456766,0.0130604,0.0070206,0.0135969,0.025182,0.0261572,0.025571,0.0237304,0.0237957,0.0133221,0.015485,0.0153922,0.00621407,0.00561184,0.00384533,0.00411228,0.0117622,0.0429829,0.0113723,0.00719964,0.00766398,0.00800654,0.01074,0.0149163,0.0149109,0.0131461,0.0169159,0.0163655,0.0103838
119,0.0316587,0.00821941,0.020029,0.0135768,0.0158159,0.0186584,0.0222363,0.0203048,0.0198142,0.0199387,0.0135486,0.00979352,0.00719567,0.01398,0.0079525,0.0131261,0.0234669,0.0215866,0.0272746,0.0256903,0.0258975,0.0131884,0.0145729,0.0156152,0.00589026,0.00717958,0.00394112,0.00298755,0.0130633,0.0446379,0.0114618,0.00570512,0.00566111,0.00725873,0.00898128,0.0117041,0.0130312,0.0115018,0.0172547,0.016684,0.0124164
120,0.0313808,0.00830279,0.0191094,0.0154415,0.0167076,0.0199397,0.02313,0.0211792,0.0205228,0.0207866,0.0135265,0.0111081,0.0115432,0.0150052,0.00948461,0.0120165,0.0199603,0.0149182,0.0283707,0.0273315,0.02711,0.0126633,0.0125246,0.0152563,0.00567593,0.00828396,0.0041967,0.00200922,0.0140738,0.0473982,0.011438,0.00493984,0.00309538,0.00575305,0.00913618,0.0102562,0.0113069,0.00995712,0.0170379,0.0161857,0.0141399
121,0.0300975,0.0086101,0.0185751,0.0169935,0.018368,0.0208606,0.0234577,0.0215898,0.0208819,0.0208558,0.0136829,0.0141186,0.0162371,0.016789,0.0115848,0.0110099,0.0169145,0.0115911,0.0292131,0.0285666,0.027611,0.0119551,0.00996602,0.0146134,0.00566488,0.0086916,0.00469758,0.00129852,0.0146355,0.0507657,0.0113057,0.00587077,0.00212144,0.00497207,0.00997627,0.0100797,0.00833163,0.00885229,0.0167316,0.0151549,0.0152348
122,0.0281522,0.00903542,0.0184755,0.017668,0.0183956,0.0213988,0.0232738,0.0215842,0.0210526,0.0203339,0.013661,0.0171097,0.0202559,0.0188271,0.013807,0.0109272,0.0160715,0.0148637,0.0298667,0.02935,0.0276595,0.0114188,0.00798099,0.0142458,0.00590942,0.00856336,0.00543611,0.000679721,0.0149687,0.0543253,0.0108924,0.00764999,0.00281983,0.0055213,0.0104807,0.00938342,0.00330607,0.00853234,0.0167693,0.0142461,0.0157264
123,0.0260662,0.00947368,0.0186676,0.0173609,0.017821,0.0215239,0.0226752,0.0212048,0.0211587,0.0198192,0.0132766,0.0189808,0.0231809,0.020798,0.0155597,0.0122362,0.0172905,0.0210184,0.0301512,0.0296293,0.0274885,0.011302,0.00767665,0.0144862,0.00635754,0.00835987,0.00630502,0.00105693,0.0154717,0.0580574,0.00993987,0.00910548,0.00297907,0.00682054,0.0109025,0.00825153,0.00672387,0.00957196,0.0172663,0.0139996,0.0158534
124,0.024254,0.00990942,0.0189338,0.0164012,0.0192164,0.021221,0.021797,0.0205275,0.0212624,0.0198954,0.0127343,0.0196447,0.0252173,0.023075,0.0164617,0.014393,0.019251,0.0267743,0.0299031,0.0294218,0.0272397,0.0115075,0.00894373,0.0150032,0.00688004,0.00855668,0.00722259,0.00236849,0.0163765,0.0616736,0.00828961,0.0102879,0.00374507,0.008412,0.01171,0.00960805,0.0147296,0.0128232,0.018066,0.0144681,0.0158659
125,0.0228613,0.0103593,0.0190942,0.0152814,0.0226216,0.0204799,0.0207676,0.0196839,0.0212918,0.0205411,0.0124255,0.0198668,0.0268064,0.0258889,0.0165181,0.0160622,0.0205425,0.0300535,0.029111,0.028803,0.0269108,0.011652,0.010705,0.015229,0.00733556,0.00932094,0.0081914,0.00384518,0.0175416,0.0635297,0.00610942,0.011656,0.00479593,0.00915606,0.0128564,0.0144631,0.0203645,0.0171404,0.0189076,0.0153418,0.0159173
126,0.0218674,0.0107856,0.0190656,0.0143346,0.0265675,0.0192491,0.0196897,0.0188228,0.0210479,0.0211552,0.0126407,0.0206103,0.0282192,0.0288109,0.0161004,0.0161625,0.0204187,0.0296544,0.0279324,0.0278486,0.0263643,0.0113568,0.0123603,0.0149477,0.00762846,0.010485,0.0092871,0.00517825,0.018683,0.0610478,0.00379027,0.0133036,0.00518094,0.00772863,0.0138367,0.0198002,0.0226646,0.0190917,0.0195581,0.0162771,0.016073
