Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
757,0.0159537,0.0132701,0.0149225,0.0087146,0.0120739,0,0.0340522,0.0137265,0.0118255,0.0150604,0.0110942,0.00592217,0,0,0.0137387,0.0167278,0.00756703,0.0166981,0.0144703,0.00919795,0.0128793,0.0106353,0.00191446,0.0038188,0.00236495,0.0105939,0,0.028068,0.0116184,0.0132716,0.018611,0,0,0.00424009,0.00474034,0.00958499,0.0113454,0.00713536,0.0154493,0.00852365,0.0136173,0.00828585,0.0174825,0.00865662,0.0185338,0.0165057,0.0125028,0.0152502,0.0153056,0.015461,0.00323171
758,0.0161118,0.0132555,0.0150286,0.0087566,0.0119416,0,0.0342141,0.0138592,0.0116454,0.0149398,0.0110845,0.00601915,0,0,0.0136936,0.0166626,0.00753429,0.0165969,0.014804,0.00935625,0.0131189,0.0108064,0.00184352,0.00380466,0.00215655,0.0107209,0,0.0279728,0.0116712,0.0131561,0.0187237,0,0,0.00418811,0.00478893,0.0095524,0.011221,0.00741791,0.0151044,0.00757215,0.0136172,0.00841871,0.0174347,0.00887047,0.0186332,0.0168444,0.0127655,0.0156093,0.0158946,0.0159651,0.00250817
759,0.0162846,0.0133629,0.0151124,0.00880022,0.0118718,0,0.0342613,0.0139122,0.0115201,0.0148249,0.0109127,0.00608236,0,0,0.0136086,0.0166109,0.00753058,0.0165506,0.0151952,0.00948792,0.0134429,0.0109205,0.00177739,0.0037971,0.00212506,0.0108858,0,0.0278988,0.011615,0.0130614,0.0186282,0,0,0.00413389,0.00481136,0.00951285,0.0110813,0.007811,0.0148793,0.00692006,0.0136508,0.00847988,0.0173913,0.00897905,0.0187268,0.0172467,0.0130358,0.0159829,0.016482,0.0164086,0.00228887
760,0.0164138,0.0135199,0.0151236,0.00883252,0.0118977,0,0.0342456,0.0138939,0.0114376,0.0147246,0.0106305,0.00610422,0,0,0.0135247,0.0165455,0.0075202,0.0165006,0.0156245,0.00962663,0.0139142,0.0110674,0.00172367,0.00377436,0.00222738,0.01109,0,0.0278053,0.0115537,0.0130062,0.0184707,0,0,0.00406482,0.00483638,0.0095128,0.0109834,0.00817452,0.0147237,0.00654208,0.0136454,0.00844981,0.0173546,0.00891513,0.018781,0.017678,0.0133312,0.016378,0.0171234,0.0168786,0.00236654
761,0.0164889,0.0136399,0.015093,0.00884491,0.0119279,0,0.0342022,0.0138007,0.0113711,0.0146307,0.0104523,0.00611458,0,0,0.0135428,0.0164458,0.00748382,0.0164077,0.0160604,0.00978541,0.0143956,0.0113965,0.00168538,0.00374602,0.00229164,0.011237,0,0.0276812,0.0115295,0.0130023,0.0184261,0,0,0.0039904,0.00488292,0.00956305,0.0109374,0.00843453,0.0145889,0.00634337,0.0136064,0.00835061,0.01732,0.00875825,0.0188013,0.0180784,0.0136167,0.0167479,0.0178359,0.0173214,0.00250414
762,0.0165501,0.0137338,0.0150851,0.00884797,0.0118363,0,0.0341436,0.0136667,0.0113173,0.0145246,0.0104349,0.0061764,0,0,0.0137047,0.0163326,0.00743693,0.0162632,0.0164643,0.0099302,0.0147275,0.0118763,0.00165925,0.00374306,0.00226596,0.0112855,0,0.0275535,0.0115181,0.0130198,0.0184296,0,0,0.00392635,0.00493671,0.0096475,0.0109327,0.00857667,0.0144708,0.00626141,0.0135609,0.00820089,0.0171672,0.00861564,0.0187778,0.0184183,0.0138421,0.0170441,0.01851,0.0176309,0.00262573
763,0.0166161,0.0138553,0.015138,0.00885759,0.0116071,0,0.0341268,0.0135665,0.0112999,0.0143976,0.0105651,0.00630433,0,0,0.0139183,0.0162503,0.00741721,0.016085,0.0168024,0.0100387,0.0149341,0.0122741,0.00164145,0.00375679,0.00223834,0.0112672,0,0.0274345,0.0114651,0.012992,0.018403,0,0,0.0038634,0.00498182,0.00976301,0.0109749,0.00863788,0.014366,0.00627176,0.013523,0.00799954,0.0168328,0.00848887,0.0186739,0.0187048,0.014028,0.017242,0.0189814,0.0178399,0.00273659
764,0.0166793,0.0140092,0.0152432,0.00886419,0.0113765,0,0.0341475,0.0134934,0.0112973,0.0142624,0.0109019,0.00646277,0,0,0.0140491,0.0161897,0.0074264,0.0158994,0.0170826,0.0101224,0.0150919,0.0124333,0.00163053,0.00373299,0.00225539,0.0111977,0,0.0273152,0.0113283,0.0129178,0.0184158,0,0,0.00377524,0.00502644,0.00990341,0.0110714,0.00867546,0.014242,0.00634467,0.0135131,0.00771846,0.0163956,0.00830157,0.018467,0.0189531,0.0142216,0.0173622,0.0192024,0.0180464,0.00282328
765,0.0167449,0.0141166,0.0153753,0.00884614,0.0112918,0,0.0340645,0.0134126,0.0112341,0.0141348,0.0113897,0.00661553,0,0,0.0140572,0.0160896,0.00739654,0.0157187,0.0173399,0.0101854,0.0152252,0.0124258,0.00161901,0.00364748,0.00228228,0.0110699,0,0.0272034,0.0111388,0.012846,0.0184671,0,0,0.00365509,0.00507206,0.010049,0.011205,0.00871893,0.0140796,0.00645274,0.0135183,0.0073221,0.0158958,0.00802103,0.0181674,0.019153,0.0144082,0.0174614,0.0193008,0.0182434,0.00287765
766,0.016811,0.0140803,0.0155072,0.00880795,0.0113152,0,0.0338047,0.0133182,0.0110975,0.0140174,0.0117929,0.00675369,0,0,0.0140185,0.0159276,0.00727172,0.015535,0.0175936,0.010235,0.0154026,0.0123916,0.00160308,0.00353815,0.00228513,0.0109266,0,0.0271153,0.0110034,0.0127725,0.0184268,0,0,0.00352991,0.00509967,0.0101665,0.0113545,0.00877775,0.0139207,0.00658604,0.0134557,0.00681139,0.0152968,0.00768955,0.0177895,0.019263,0.0145419,0.0175641,0.0194401,0.0183644,0.00299392
