Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_HJC,L_HJC_reg,L_Shoulder,L_Sternum,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_HJC,R_HJC_reg,R_Shoulder,R_Sternum,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
90,0.0160605,0.0383681,0.0212862,0.00827805,0.0131101,0,0.0472554,0.0152498,0.011615,0.00931431,0.0255509,0.0311728,0,0,0.00938347,0.0130959,0.00650393,0.0101548,0.0180311,0.012325,0.00612687,0.0069105,0.00313698,0.0163952,0.0142656,0.0265158,0,0.0450004,0.0179436,0.0473558,0.0394224,0,0,0.0292069,0.0338133,0.0133716,0.0236595,0.00729241,0.0101949,0.0134514,0.0232824,0.0165086,0.0241774,0.0228326,0.017338,0.00933963,0.00769914,0.00708573,0.00716683,0.00683563,0.0128286
91,0.0159673,0.0383532,0.0216012,0.00823572,0.0135327,0,0.0472646,0.0156655,0.0116188,0.00937476,0.0248786,0.0309895,0,0,0.00855757,0.0124109,0.00599114,0.00967605,0.0180353,0.0126422,0.00652239,0.0072846,0.00303628,0.015748,0.0137584,0.0261401,0,0.0449648,0.0181958,0.0473334,0.0393724,0,0,0.0292444,0.0338876,0.0133988,0.0238658,0.00641528,0.00970886,0.0139554,0.0225955,0.0160507,0.0239276,0.0222325,0.0174908,0.00871065,0.00737699,0.00639093,0.00602385,0.00523461,0.0132387
92,0.0158551,0.0384028,0.0219511,0.00816637,0.0140021,0,0.0472989,0.0160736,0.0116243,0.00951509,0.024186,0.0307907,0,0,0.00773495,0.0117584,0.00550638,0.00921902,0.018078,0.0129758,0.00709092,0.00773301,0.00298221,0.0151113,0.0131647,0.0258467,0,0.0449692,0.0184284,0.0473539,0.0393964,0,0,0.0293374,0.0340075,0.013439,0.0241628,0.00565981,0.00920692,0.0143342,0.0217568,0.0155152,0.0236333,0.0215345,0.0175849,0.00808021,0.00693816,0.0058368,0.00536739,0.00371092,0.0135262
93,0.0157381,0.0385193,0.022345,0.00807953,0.0144918,0,0.0473537,0.0164522,0.0116543,0.00971463,0.0234982,0.0305903,0,0,0.006939,0.0111656,0.00503355,0.00878583,0.0181983,0.0133289,0.00779882,0.0082345,0.00295653,0.0145072,0.0125046,0.0256402,0,0.0450077,0.0186377,0.0474131,0.0394824,0,0,0.029478,0.0341795,0.0134957,0.0245155,0.00504706,0.00870261,0.0145855,0.0207731,0.0149649,0.0233301,0.0208273,0.0176499,0.00754733,0.00648518,0.00579105,0.00568854,0.00291422,0.0137373
94,0.0156246,0.0386925,0.0227845,0.00799082,0.0149748,0,0.0474211,0.0167831,0.0117229,0.00994906,0.0228329,0.0303942,0,0,0.00619903,0.0106331,0.00456637,0.00838113,0.0184207,0.0137011,0.00858334,0.00875885,0.00292136,0.0139496,0.0118271,0.0255046,0,0.0450736,0.0188216,0.0474975,0.0396115,0,0,0.0296496,0.0344003,0.0135644,0.0248774,0.00456765,0.00819664,0.0147533,0.0196664,0.0144572,0.0230028,0.0201855,0.0177128,0.00726177,0.00631245,0.00655551,0.00698051,0.00384829,0.0139331
95,0.0155178,0.0389018,0.0232604,0.00791736,0.0154298,0,0.0474907,0.0170544,0.0118342,0.0101983,0.022197,0.0301963,0,0,0.00554294,0.0101385,0.00411193,0.00801477,0.0187456,0.014094,0.00936647,0.00927058,0.00283018,0.0134425,0.0111937,0.0254118,0,0.0451599,0.0189786,0.0475849,0.0397611,0,0,0.0298295,0.0346529,0.0136383,0.025209,0.00418608,0.00767597,0.0149053,0.0184731,0.0140324,0.0225903,0.0196467,0.0177878,0.00739488,0.00679397,0.00807372,0.00887108,0.0060244,0.014165
96,0.0154163,0.0391204,0.0237547,0.00787108,0.0158451,0,0.0475505,0.0172616,0.0119865,0.0104488,0.0215837,0.0299798,0,0,0.00497954,0.00965803,0.00369123,0.00770129,0.0191493,0.0145137,0.0100784,0.00973524,0.0026516,0.0129789,0.0106532,0.0253299,0,0.0452593,0.019107,0.0476474,0.0399072,0,0,0.0299939,0.0349119,0.0137114,0.0254879,0.00385448,0.00711845,0.0151064,0.0172388,0.0137076,0.0220212,0.0191978,0.0178736,0.00805966,0.00806066,0.010078,0.0110641,0.00870216,0.0144504
97,0.0153155,0.0393229,0.0242453,0.00785133,0.0162186,0,0.0475903,0.0174062,0.0121749,0.0106927,0.020978,0.0297257,0,0,0.00448326,0.00918954,0.0033371,0.00745668,0.0195909,0.0149679,0.0106686,0.0101235,0.00239862,0.0125446,0.0102252,0.0252292,0,0.0453631,0.0192054,0.0476559,0.0400272,0,0,0.0301261,0.0351539,0.0137817,0.0257053,0.00353368,0.00650282,0.0153976,0.016014,0.0134759,0.0212526,0.0187792,0.0179549,0.00923898,0.00991259,0.0123335,0.013384,0.0115586,0.0147567
98,0.0152072,0.0394917,0.0247132,0.00784252,0.0165555,0,0.0476016,0.0174926,0.0123969,0.0109253,0.0203658,0.0294202,0,0,0.00399622,0.008759,0.00308772,0.00729216,0.0200287,0.0154625,0.0111038,0.0104148,0.00213803,0.0121231,0.0098967,0.0250882,0,0.0454637,0.0192715,0.0475879,0.0401023,0,0,0.0302247,0.0353671,0.0138497,0.0258596,0.0032103,0.0058223,0.015787,0.0148466,0.013309,0.0202886,0.0183105,0.0180034,0.0108048,0.0120577,0.0146804,0.0157089,0.0143918,0.0150111
99,0.0150835,0.0396173,0.0251469,0.0078185,0.0168631,0,0.0475796,0.0175268,0.0126528,0.011145,0.0197421,0.0290616,0,0,0.00345432,0.00840507,0.00297111,0.00721079,0.0204316,0.0159982,0.0113671,0.0105949,0.00195809,0.0117011,0.00963482,0.0248958,0,0.0455557,0.0193022,0.0474349,0.0401175,0,0,0.0303034,0.0355528,0.0139189,0.0259499,0.00290337,0.00510415,0.0162462,0.013776,0.0131572,0.0191715,0.017727,0.0179792,0.0125813,0.014252,0.0169948,0.0179322,0.0170363,0.01513
