Timestep,C7,CLAV,LACR,LASI,LCAL,LFAradius,LFAsuperior,LFAulna,LLEL,LMEL,LMT5,LPSI,LTB1,LTB2,LTB3,LTH1,LTH2,LTH3,LTOE,LUA1,LUA2,LUA3,RACR,RASI,RCAL,RFAradius,RFAsuperior,RFAulna,RLEL,RMEL,RMT5,RPSI,RTB1,RTB2,RTB3,RTH1,RTH3,RTOE,RUA1,RUA2,RUA3
185,0.00994146,0.0394689,0.0290628,0.00825885,0.00609674,0.00420653,0.00362397,0.00210943,0.0110661,0.011361,0.0314482,0.0100726,0.021966,0.0254932,0.0135281,0.00998898,0.0170893,0.0289071,0.0131697,0.00678969,0.00686808,0.0101463,0.043795,0.00543645,0.0192697,0.00415793,0.00566221,0.000618254,0.010107,0.00971737,0.0196125,0.0128726,0.00811595,0.0155144,0.0114744,0.0187999,0.0246055,0.0146629,0.00853907,0.00764715,0.00713677
186,0.00941658,0.0388992,0.0282446,0.00798724,0.0058293,0.00280081,0.00431387,0.00381978,0.0111305,0.0118799,0.0312489,0.010498,0.020488,0.024051,0.0126515,0.00962024,0.0155837,0.0275808,0.0130015,0.00595976,0.00595339,0.00988925,0.0440244,0.00613315,0.0173499,0.00367121,0.00447734,0.000767775,0.00921676,0.00814387,0.0194985,0.0142959,0.00733615,0.0129724,0.0100342,0.0164074,0.0221837,0.014067,0.00835575,0.00706622,0.00572632
187,0.00890084,0.0380609,0.0275509,0.00717369,0.00558444,0.00263503,0.00489012,0.00518016,0.0113335,0.0125439,0.0307358,0.0111259,0.0189875,0.0219854,0.0117818,0.00987524,0.0141155,0.0255484,0.0129377,0.00528921,0.00521018,0.00973554,0.0440306,0.00655315,0.0150173,0.00360224,0.00351181,0.00187526,0.0085842,0.0069904,0.0198391,0.0153051,0.00782718,0.0112629,0.00899427,0.0144428,0.0202182,0.0131219,0.00840393,0.00697087,0.00447584
188,0.008416,0.0371147,0.0270538,0.00608751,0.00542562,0.00299349,0.00531319,0.00600945,0.0114722,0.0131897,0.0299081,0.0120595,0.0176011,0.0195039,0.0107022,0.0104078,0.0127645,0.0231811,0.0130375,0.00483974,0.0047103,0.00952352,0.0437635,0.00620989,0.0123032,0.00377957,0.00274572,0.00271146,0.00821618,0.00632498,0.0205954,0.015343,0.0090721,0.0105635,0.00889401,0.0133917,0.0188468,0.0120438,0.00845712,0.00728141,0.00358364
189,0.00803911,0.0361673,0.0267576,0.00550242,0.0056717,0.00313246,0.00561895,0.00631,0.0114484,0.0136277,0.0287921,0.0132307,0.0163409,0.0168495,0.00933381,0.0109907,0.0113404,0.0207454,0.0133849,0.00467501,0.00435393,0.00910418,0.0432358,0.00506847,0.00933116,0.00397472,0.00219352,0.00329616,0.00808205,0.00608541,0.0216223,0.0142812,0.0106926,0.0104634,0.0094883,0.0128789,0.0178944,0.0111427,0.00838184,0.00766605,0.00320933
190,0.00783674,0.0352374,0.0266186,0.00593387,0.00654441,0.00294447,0.00578531,0.00619099,0.0112587,0.0137727,0.0274385,0.0144406,0.0151005,0.0142399,0.00776225,0.011365,0.0096282,0.0183806,0.0139373,0.00483573,0.0040906,0.00843402,0.0424753,0.00396885,0.00648333,0.00401603,0.00205771,0.00366843,0.00817432,0.00612469,0.0226637,0.0126149,0.012521,0.010666,0.0100238,0.0120792,0.0170368,0.0106791,0.008154,0.00793743,0.00337273
191,0.00783241,0.0343044,0.0265678,0.00672288,0.00793283,0.00260268,0.00578434,0.00581219,0.0109359,0.0136725,0.0259206,0.0154665,0.0137665,0.0117887,0.00611816,0.0111738,0.00762983,0.0161214,0.0145088,0.00525017,0.00406682,0.00756494,0.0415029,0.00386769,0.00435652,0.00382367,0.00238632,0.00385511,0.00850337,0.00630316,0.0234088,0.0110854,0.0143879,0.0112063,0.0101322,0.0107636,0.016158,0.0106144,0.00782575,0.00813673,0.00393249
192,0.00801283,0.0333628,0.0265272,0.00709489,0.00956891,0.00230663,0.0056511,0.00533952,0.0105194,0.0134439,0.0243606,0.0161736,0.0123275,0.00948773,0.00457755,0.0100673,0.0056924,0.013889,0.0148814,0.00577951,0.00451315,0.00661288,0.0403517,0.00441038,0.00345104,0.00342083,0.00286654,0.00388868,0.0090512,0.00656139,0.0236444,0.0101266,0.0160639,0.0121628,0.0099927,0.0102687,0.0154901,0.0107358,0.00749729,0.00837866,0.00472493
193,0.00833581,0.0324378,0.0264229,0.00685723,0.0111728,0.002123,0.00546018,0.00491564,0.0100482,0.0131792,0.0229542,0.0165279,0.01087,0.0072878,0.00342472,0.00795839,0.0046676,0.0115147,0.0149631,0.0062969,0.00543069,0.00573718,0.0390802,0.00517759,0.00368898,0.00288263,0.00341098,0.0038285,0.00975238,0.00688485,0.0234766,0.00973398,0.0173363,0.0134338,0.00987922,0.0121211,0.0153253,0.0109794,0.0072943,0.00871397,0.00564794
194,0.0087245,0.0315615,0.0261936,0.00617018,0.0124648,0.0019895,0.00526349,0.00464304,0.00956689,0.0128867,0.0219527,0.0165396,0.0094747,0.00522046,0.00299575,0.00538266,0.00531505,0.00890737,0.0148312,0.00670823,0.00656448,0.00510652,0.0377711,0.00609626,0.00444092,0.00229249,0.00414925,0.00374674,0.0105051,0.00725894,0.0233881,0.00964541,0.0181961,0.0149451,0.00984025,0.0151453,0.015688,0.011327,0.00731112,0.00910384,0.00665343
195,0.00907009,0.0307492,0.0258113,0.00525943,0.0132383,0.00184537,0.00507024,0.00456101,0.00913375,0.0125145,0.0215692,0.0162192,0.00814463,0.00347573,0.00334552,0.00399925,0.00678175,0.00642812,0.0146269,0.00696072,0.00763384,0.00480989,0.0365055,0.00684445,0.00520578,0.00184326,0.00503893,0.00369333,0.0111981,0.00765975,0.0238925,0.00955432,0.0188836,0.0167884,0.0098189,0.0174447,0.016416,0.0115537,0.00753707,0.00945896,0.00773216
196,0.00927834,0.0300071,0.0252815,0.00431676,0.0134694,0.00169027,0.00488595,0.00463578,0.00880588,0.012047,0.0218213,0.0155717,0.00689417,0.00243428,0.00411578,0.00476825,0.00782196,0.00522084,0.014465,0.00704866,0.00844908,0.00476601,0.0353504,0.00714916,0.005998,0.00190562,0.00588339,0.00368057,0.011739,0.00804509,0.0249794,0.00936245,0.0196539,0.0188413,0.00987786,0.0182173,0.0174294,0.0115985,0.00786219,0.0096918,0.00890185
197,0.00929206,0.0293598,0.0246598,0.00355719,0.0133404,0.0015421,0.00474331,0.00478565,0.00862,0.0115586,0.0225584,0.0146201,0.0059311,0.00239583,0.00495484,0.00538473,0.00780498,0.0056936,0.0143404,0.00703187,0.00892909,0.00480185,0.0343477,0.00698088,0.00702614,0.00239722,0.00654305,0.00373129,0.0120771,0.00834896,0.0262069,0.00923875,0.0204757,0.0204366,0.0101256,0.0175286,0.0187015,0.0118902,0.00815834,0.00975203,0.010178
198,0.0091291,0.0288584,0.0240404,0.00328857,0.0131421,0.00139132,0.00468327,0.00493176,0.00855928,0.011175,0.0235754,0.013454,0.00547004,0.00279532,0.00563383,0.0045094,0.00675046,0.00616112,0.0141744,0.00699599,0.00906997,0.00478554,0.0335229,0.00642391,0.00786834,0.00281294,0.00697658,0.00388844,0.0122187,0.00850085,0.0271701,0.00942913,0.0210307,0.0208402,0.0104648,0.0157837,0.0200191,0.0127769,0.00838469,0.00967021,0.0115378
